n_rate,rep,july,oct,yield
0,1,2.57,2.03,12
0,2,2.78,2.12,19
0,3,2.47,2.16,22
0,4,2.59,2.09,30
0,5,2.53,2,18
0,6,2.33,1.97,22
0,7,2.5,2.04,23
0,8,2.64,2.1,.
0,9,2.37,1.9,.
0,10,2.59,1.87,38
0.2,1,2.64,2.18,16
0.2,2,2.73,2.07,22
0.2,3,2.54,1.93,26
0.2,4,2.59,2.1,43
0.2,5,2.1,1.85,13
0.2,6,2.41,2,42
0.2,7,2.52,1.99,23
0.2,8,2.78,1.95,16
0.2,9,2.61,2.17,18
0.2,10,2.43,2.06,23
0.4,1,2.61,2.18,44
0.4,2,2.63,2.09,.
0.4,3,2.46,1.92,36
0.4,4,2.65,2.04,42
0.4,5,2.54,2.05,44
0.4,6,2.49,1.96,56
0.4,7,2.59,2.27,22
0.4,8,2.66,2.14,13
0.4,9,2.41,1.97,15
0.4,10,2.41,2,27
0.6,1,2.65,2.06,33
0.6,2,2.6,2.06,49
0.6,3,2.36,2.02,34
0.6,4,2.43,2.12,22
0.6,5,2.34,1.99,.
0.6,6,1.96,2.03,49
0.6,7,2.58,1.98,57
0.6,8,2.57,2.12,56
0.6,9,2.7,2.18,23
0.6,10,2.51,2.04,18
0.8,1,2.64,2.24,27
0.8,2,2.79,2.06,55
0.8,3,2.55,2,43
0.8,4,2.66,1.84,16
0.8,5,2.46,2.2,27
0.8,6,2.3,2.07,37
0.8,7,2.55,2.07,35
0.8,8,2.44,2.12,48
0.8,9,2.53,2.19,53
0.8,10,2.31,1.79,40
0.8,8,2.44,2.12,48
0.8,9,2.53,2.19,53
0.8,10,2.31,1.79,40
